"Lon","Lat","Week_Number","Chl","Temp","Salinity","MLD","uo","vo","Current_Speed","Solar_Flux","Heat_Flux"
13.542,45.729,1,0.377363741397858,19.8096504211426,34.4199638366699,6.17855453491211,0.0452914945781231,-0.0561260990798473,0.0721211375329105,269.540466308594,220.780136108398
13.542,45.729,2,0.446448534727097,21.3279800415039,33.3763236999512,6.19571924209595,0.0324199460446835,-0.0588329024612904,0.067174126816505,173.71598815918,168.54850769043
13.542,45.729,3,0.550593137741089,22.4142589569092,33.5148887634277,6.17835712432861,0.00545728160068393,-0.0713524520397186,0.0715608435846693,335.574615478516,213.391647338867
13.542,45.729,4,0.653100967407227,23.5790557861328,33.5901412963867,6.19597959518433,0.0533086769282818,-0.0302448142319918,0.0612908135349141,228.23974609375,229.517578125
13.542,45.729,5,0.526149034500122,25.5710144042969,32.9554176330566,6.22310256958008,-0.00765425292775035,-0.0638659298419952,0.0643229708771651,200.706726074219,162.775299072266
13.542,45.729,6,0.38713064789772,26.1578540802002,33.8674736022949,6.19556427001953,0.02491145581007,-0.0355306603014469,0.0433936452955256,286.897521972656,156.362533569336
13.542,45.729,7,0.483803540468216,25.5208625793457,33.982006072998,6.1224799156189,0.0491890795528889,-0.0252402406185865,0.055286845576001,270.820678710938,34.8592758178711
13.542,45.729,8,0.366083204746246,26.1460781097412,34.2492065429688,6.094566822052,0.0460099317133427,-0.0438235923647881,0.0635407039937516,318.150451660156,147.577209472656
13.542,45.729,9,0.380333572626114,27.2629776000977,34.4871520996094,6.18725109100342,0.0178656689822674,-0.045517023652792,0.0488976642631606,215.72021484375,39.3361587524414
13.542,45.729,10,0.470189273357391,27.4682598114014,34.5939102172852,6.18658971786499,0.0279949512332678,-0.0473041795194149,0.0549672874950008,255.993057250977,28.0569896697998
13.542,45.729,11,0.534027755260468,26.6621170043945,35.0889549255371,6.1890115737915,-0.00747249182313681,-0.104214541614056,0.104482098073663,272.631652832031,-72.3563766479492
13.542,45.729,12,0.570352971553802,25.9385318756104,35.2785263061523,6.28379201889038,0.060879472643137,0.00977133400738239,0.0616586503062651,274.645660400391,54.8808822631836
